name,,Valence_electron_concentration_ref_Avg,name,Alloy_Ni,Alloy_Cr,Alloy_Co,Alloy_Al,Alloy_Fe,phase_name,phase_fraction,Ni,Cr,Co,Al,Fe,invT,Smix_HEA,DeltaSize_HEA,Electroneg_HEA,Hmix_HEA,Omega_HEA,Al+Cr,Cr/Al,kp,10**kp,UMAP_1,UMAP_2,CALPHAD,CTE@1000c (1/k),CTE@1050c (1/k),CTE@1100c (1/k),CTE@1150c (1/k),CTE@1200c (1/k),mean CTE@1000c (1/k),mean CTE@1050c (1/k),mean CTE@1100c (1/k),mean CTE@1150c (1/k),mean CTE@1200c (1/k),Distance,Phase_Rank,Distance_Rank,Phase_Score,Final Score,Alloy name
1,0,7.473,1,50,14,10,20,6,BCC_B2#2,0.466,49.7,7.7,8.8,29.1,4.7,0.702740689,10.48988497,0.064763393,0.136472699,-17.569292,0.918946172,36.8,0.264604811,-11.7754635,1.68E-12,15.905938,5.070136,10,1.80E-05,1.84E-05,1.87E-05,1.91E-05,1.96E-05,1.52E-05,1.53E-05,1.55E-05,1.56E-05,1.58E-05,21.04899047,263.5,973.5,122.791,1007.3855,
1,1,8.127,1,50,14,10,20,6,FCC_L12#1,0.534,50.3,19.5,11.1,12,7.1,0.702740689,11.22935712,0.047434637,0.121453128,-11.100188,1.751407865,31.5,1.625,-11.21329622,6.12E-12,18.305052,8.733973,10,1.80E-05,1.84E-05,1.87E-05,1.91E-05,1.96E-05,1.52E-05,1.53E-05,1.55E-05,1.56E-05,1.58E-05,21.04899047,1720,973.5,918.48,1007.3855,
2,2,7.496,2,50,14,12,18,6,BCC_B2#2,0.344,49.2,7.2,10.1,28.9,4.6,0.702740689,10.56162173,0.064621733,0.135952609,-17.469276,0.930386453,36.1,0.249134948,-11.7754635,1.68E-12,16.216427,5.1891212,,1.81E-05,1.85E-05,1.89E-05,1.93E-05,1.98E-05,1.52E-05,1.54E-05,1.55E-05,1.57E-05,1.59E-05,19.94943608,263.5,783.5,90.644,1001.232,
2,3,8.171,2,50,14,12,18,6,FCC_L12#1,0.656,50.4,17.6,13,12.3,6.7,0.702740689,11.26695901,0.047900667,0.120361848,-11.101004,1.746441684,29.9,1.430894309,-11.21329622,6.12E-12,18.36231,7.900371,,1.81E-05,1.85E-05,1.89E-05,1.93E-05,1.98E-05,1.52E-05,1.54E-05,1.55E-05,1.57E-05,1.59E-05,19.94943608,1720,783.5,1128.32,1001.232,
3,4,8.152,3,50,14,12,20,4,FCC_L12#1,0.535,50.4,19.2,13.5,12.3,4.7,0.702740689,11.09069123,0.047806537,0.122102615,-11.291484,1.697485545,31.5,1.56097561,-11.21329622,6.12E-12,18.616085,8.293648,10,1.82E-05,1.86E-05,1.90E-05,1.95E-05,1.99E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.60E-05,20.35018427,1720,855.5,920.2,1107.44625,
3,5,7.49,3,50,14,12,20,4,BCC_B2#2,0.465,49.6,8,10.3,28.9,3.2,0.702740689,10.41622434,0.064563817,0.136693005,-17.601556,0.912181957,36.9,0.276816609,-11.72167342,1.90E-12,16.216427,5.1891212,10,1.82E-05,1.86E-05,1.90E-05,1.95E-05,1.99E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.60E-05,20.35018427,944.5,855.5,439.1925,1107.44625,
4,6,8.268,4,52,12,14,16,6,FCC_L12#1,0.82,52.5,13.4,14.6,13.2,6.3,0.702740689,11.05767612,0.049305794,0.11823726,-11.25448,1.665251584,26.6,1.015151515,-11.23425345,5.83E-12,18.641632,7.016358,7,1.84E-05,1.88E-05,1.92E-05,1.96E-05,2.01E-05,1.53E-05,1.55E-05,1.57E-05,1.58E-05,1.60E-05,17.9933321,1682,379.5,1379.24,903.085,
4,7,7.55,4,52,12,14,16,6,BCC_B2#2,0.18,49.7,5.8,11.2,28.8,4.5,0.702740689,10.44135338,0.064555553,0.135277568,-17.406408,0.92000889,34.6,0.201388889,-11.7754635,1.68E-12,16.175457,4.8361254,7,1.84E-05,1.88E-05,1.92E-05,1.96E-05,2.01E-05,1.53E-05,1.55E-05,1.57E-05,1.58E-05,1.60E-05,17.9933321,263.5,379.5,47.43,903.085,
5,8,7.564,5,54,12,12,16,6,BCC_B2#2,0.159,51.3,5.7,9.7,28.9,4.4,0.702740689,10.21118186,0.064650453,0.135686903,-17.51044,0.89325731,34.6,0.197231834,-11.7754635,1.68E-12,16.746717,4.9849825,7,1.82E-05,1.86E-05,1.90E-05,1.94E-05,1.99E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.59E-05,17.64879599,263.5,301.5,41.8965,883.3945,
5,9,8.27,5,54,12,12,16,6,FCC_L12#1,0.841,54.5,13.2,12.4,13.6,6.3,0.702740689,10.82851693,0.049938986,0.119116105,-11.514696,1.589221491,26.8,0.970588235,-11.22869894,5.91E-12,19.11573,7.3720584,7,1.82E-05,1.86E-05,1.90E-05,1.94E-05,1.99E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.59E-05,17.64879599,1692.5,301.5,1423.3925,883.3945,
6,10,7.527,6,54,14,10,16,6,BCC_B2#2,0.174,51.9,6.5,8.2,29.1,4.2,0.702740689,10.10570078,0.064840353,0.136471858,-17.627372,0.877897727,35.6,0.223367698,-11.7754635,1.68E-12,16.40764,4.9558244,7,1.80E-05,1.84E-05,1.88E-05,1.92E-05,1.96E-05,1.51E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,18.74966666,263.5,545.5,45.849,981.874,
6,11,8.22,6,54,14,10,16,6,FCC_L12#1,0.826,54.4,15.6,10.4,13.2,6.4,0.702740689,10.80515979,0.049353662,0.120797411,-11.538688,1.594959845,28.8,1.181818182,-11.25242456,5.59E-12,19.190487,7.867752,7,1.80E-05,1.84E-05,1.88E-05,1.92E-05,1.96E-05,1.51E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,18.74966666,1661.5,545.5,1372.399,981.874,
7,12,7.567,7,54,12,12,18,4,BCC_B2#2,0.285,52,6.3,9.8,28.9,3,0.702740689,10.02491114,0.064598423,0.136414867,-17.647056,0.871076828,35.2,0.21799308,-11.7754635,1.68E-12,16.746717,4.9849825,3,1.83E-05,1.87E-05,1.91E-05,1.96E-05,2.01E-05,1.53E-05,1.55E-05,1.56E-05,1.58E-05,1.60E-05,17.81852968,263.5,335.5,75.0975,799.285,
7,13,8.259,7,54,12,12,18,4,FCC_L12#1,0.715,54.8,14.3,12.9,13.6,4.4,0.702740689,10.64764362,0.049882035,0.120537448,-11.663136,1.546069423,27.9,1.051470588,-11.25242456,5.59E-12,19.243353,7.0995207,3,1.83E-05,1.87E-05,1.91E-05,1.96E-05,2.01E-05,1.53E-05,1.55E-05,1.56E-05,1.58E-05,1.60E-05,17.81852968,1661.5,335.5,1187.9725,799.285,
8,14,7.555,8,54,12,10,18,6,BCC_B2#2,0.292,52,6.1,8.4,29.1,4.5,0.702740689,10.12215576,0.06475303,0.136279041,-17.643568,0.879654396,35.2,0.209621993,-11.7754635,1.68E-12,16.40764,4.9558244,3,1.81E-05,1.85E-05,1.89E-05,1.93E-05,1.97E-05,1.52E-05,1.54E-05,1.55E-05,1.57E-05,1.59E-05,18.27949671,263.5,427.5,76.942,840.392,
8,15,8.234,8,54,12,10,18,6,FCC_L12#1,0.708,54.8,14.5,10.6,13.4,6.6,0.702740689,10.77685608,0.049719919,0.120111208,-11.534264,1.583876736,27.9,1.082089552,-11.25242456,5.59E-12,19.597673,7.616775,3,1.81E-05,1.85E-05,1.89E-05,1.93E-05,1.97E-05,1.52E-05,1.54E-05,1.55E-05,1.57E-05,1.59E-05,18.27949671,1661.5,427.5,1176.342,840.392,
9,16,8.15,9,54,18,12,16,0,FCC_L12#1,0.822,54.2,20,12.6,13.2,0,0.702740689,9.828447136,0.049147797,0.125592896,-12.054304,1.401331816,33.2,1.515151515,-11.1874403,6.49E-12,19.400387,8.554151,7,1.83E-05,1.87E-05,1.92E-05,1.97E-05,2.02E-05,1.51E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,19.61377067,1745.5,699.5,1434.801,1086.241,
9,17,7.533,9,54,18,12,16,0,BCC_B2#2,0.178,53.1,8.8,9.2,28.9,0,0.702740689,9.380263384,0.064488493,0.138453849,-17.98028,0.80442819,37.7,0.30449827,-11.77778163,1.67E-12,17.452993,5.3329353,7,1.83E-05,1.87E-05,1.92E-05,1.97E-05,2.02E-05,1.51E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,19.61377067,214.5,699.5,38.181,1086.241,
11,18,7.571,11,56,14,10,20,0,BCC_B2#2,0.407,54.8,8.1,8.2,28.9,0,0.702740689,9.120605566,0.064526013,0.138476539,-18.02328,0.778490949,37,0.280276817,-11.86089837,1.38E-12,17.158417,5.2517424,3,1.83E-05,1.87E-05,1.92E-05,1.97E-05,2.10E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.67E-05,18.38477631,3,455.5,1.221,685.5635,
11,19,8.191,11,56,14,10,20,0,FCC_L12#1,0.593,56.8,18.1,11.2,13.9,0,0.702740689,9.562252322,0.050218874,0.125568324,-12.34028,1.320383723,32,1.302158273,-11.6087378,2.46E-12,19.8914,8.146334,3,1.83E-05,1.87E-05,1.92E-05,1.97E-05,2.10E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.67E-05,18.38477631,1542,455.5,914.406,685.5635,
12,20,8.173,12,54,16,12,18,0,FCC_L12#1,0.7,54.4,19.2,13.1,13.4,0,0.702740689,9.840734323,0.049411985,0.125306627,-12.105048,1.394537842,32.6,1.432835821,-11.21329622,6.12E-12,19.400387,8.554151,3,1.84E-05,1.88E-05,1.93E-05,1.98E-05,2.13E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.68E-05,19.21952133,1720,633.5,1204,950.925,
12,21,7.542,12,54,16,12,18,0,BCC_B2#2,0.3,53.1,8.5,9.5,28.9,0,0.702740689,9.378322291,0.064485418,0.13831616,-17.966552,0.804231075,37.4,0.294117647,-11.77778163,1.67E-12,17.452993,5.3329353,3,1.84E-05,1.88E-05,1.93E-05,1.98E-05,2.13E-05,1.52E-05,1.54E-05,1.56E-05,1.58E-05,1.68E-05,19.21952133,214.5,633.5,64.35,950.925,
