,Valence_electron_concentration_ref_Avg,name,Alloy_Ni,Alloy_Cr,Alloy_Co,Alloy_Al,Alloy_Fe,phase_name,phase_fraction,Ni,Cr,Co,Al,Fe,invT,Smix_HEA,DeltaSize_HEA,Electroneg_HEA,Hmix_HEA,Omega_HEA,Al+Cr,Cr/Al,UMAP_1,UMAP_2
0,7.473000000000001,1,50,14,10,20,6,BCC_B2#2,0.466,49.7,7.7,8.799999999999999,29.1,4.7,0.7027406886858749,10.489884965064157,0.064763393,0.13647269873494838,-17.569292,0.9189461723067845,36.800000000000004,0.2646048109965636,15.905938,5.070136
1,8.127,1,50,14,10,20,6,FCC_L12#1,0.534,50.3,19.5,11.1,12,7.1,0.7027406886858749,11.229357116321028,0.047434637,0.12145312840762888,-11.100188,1.7514078648821505,31.5,1.625,18.305052,8.733973
2,7.496000000000001,2,50,14,12,18,6,BCC_B2#2,0.344,49.2,7.199999999999999,10.1,28.9,4.6,0.7027406886858749,10.561621730145225,0.064621733,0.1359526090224089,-17.469276,0.9303864527176698,36.099999999999994,0.2491349480968858,16.216427,5.1891212
3,8.171,2,50,14,12,18,6,FCC_L12#1,0.656,50.4,17.6,13,12.3,6.7,0.7027406886858749,11.26695901227696,0.047900667,0.12036184777577981,-11.101004,1.7464416844045183,29.900000000000002,1.4308943089430894,18.36231,7.900371
4,8.152,3,50,14,12,20,4,FCC_L12#1,0.535,50.4,19.2,13.5,12.3,4.7,0.7027406886858749,11.09069122669962,0.047806537,0.12210261520540824,-11.291484,1.6974855447212005,31.5,1.5609756097560974,18.616085,8.293648
5,7.490000000000001,3,50,14,12,20,4,BCC_B2#2,0.465,49.6,8,10.3,28.9,3.2,0.7027406886858749,10.416224339964838,0.064563817,0.1366930045759474,-17.601556,0.9121819571767297,36.9,0.2768166089965398,16.216427,5.1891212
6,8.268,4,52,12,14,16,6,FCC_L12#1,0.82,52.5,13.4,14.6,13.2,6.3,0.7027406886858749,11.057676116296015,0.049305794277935244,0.11823725977880234,-11.25448,1.665251584058513,26.6,1.0151515151515151,18.641632,7.016358
7,7.550000000000001,4,52,12,14,16,6,BCC_B2#2,0.18,49.7,5.800000000000001,11.2,28.8,4.5,0.7027406886858749,10.441353375746342,0.064555553,0.1352775679852354,-17.406408,0.9200088899399526,34.6,0.2013888888888889,16.175457,4.8361254
8,7.564,5,54,12,12,16,6,BCC_B2#2,0.159,51.3,5.7,9.700000000000001,28.9,4.399999999999999,0.7027406886858749,10.211181856881877,0.064650453,0.13568690283148177,-17.51044,0.8932573100814174,34.6,0.19723183391003463,16.746717,4.9849825
9,8.270000000000001,5,54,12,12,16,6,FCC_L12#1,0.841,54.50000000000001,13.2,12.4,13.6,6.3,0.7027406886858749,10.828516928047753,0.049938985806531076,0.11911610470461158,-11.514696,1.5892214911285316,26.799999999999997,0.9705882352941176,19.11573,7.3720584
10,7.527000000000001,6,54,14,10,16,6,BCC_B2#2,0.174,51.9,6.5,8.200000000000001,29.1,4.2,0.7027406886858749,10.105700778172142,0.064840353,0.13647185776415582,-17.627372,0.8778977270084961,35.6,0.2233676975945017,16.40764,4.9558244
11,8.22,6,54,14,10,16,6,FCC_L12#1,0.826,54.40000000000001,15.6,10.4,13.2,6.4,0.7027406886858749,10.805159794133049,0.049353662186686416,0.12079741056827333,-11.538688,1.5949598445855906,28.799999999999997,1.1818181818181819,19.190487,7.867752
12,7.567,7,54,12,12,18,4,BCC_B2#2,0.285,52,6.3,9.8,28.9,3,0.7027406886858749,10.024911139069719,0.064598423,0.13641486685841825,-17.647056,0.8710768284298557,35.199999999999996,0.2179930795847751,16.746717,4.9849825
13,8.259,7,54,12,12,18,4,FCC_L12#1,0.715,54.8,14.3,12.9,13.6,4.399999999999999,0.7027406886858749,10.647643616101346,0.049882035,0.12053744812297956,-11.663136,1.5460694229576708,27.9,1.0514705882352942,19.243353,7.0995207
14,7.555000000000001,8,54,12,10,18,6,BCC_B2#2,0.292,52,6.1,8.4,29.1,4.5,0.7027406886858749,10.12215576243145,0.06475303,0.13627904056603854,-17.643568,0.8796543955887969,35.2,0.20962199312714774,16.40764,4.9558244
15,8.234,8,54,12,10,18,6,FCC_L12#1,0.708,54.8,14.5,10.6,13.4,6.600000000000001,0.7027406886858749,10.776856084162658,0.049719919,0.12011120800158488,-11.534264,1.5838767361684238,27.9,1.0820895522388059,19.597673,7.616775
16,8.15,9,54,18,12,16,0,FCC_L12#1,0.822,54.2,20,12.6,13.2,0,0.7027406886858749,9.828447135953809,0.049147797,0.12559289629592904,-12.054304,1.4013318160782324,33.2,1.5151515151515151,19.400387,8.554151
17,7.533,9,54,18,12,16,0,BCC_B2#2,0.178,53.1,8.799999999999999,9.2,28.9,0,0.7027406886858749,9.380263383844378,0.064488493,0.13845384935060484,-17.98028,0.80442819,37.699999999999996,0.3044982698961938,17.452993,5.3329353
18,8.200000000000001,10,57.99999999999999,18,10,14,0,FCC_L12#1,1,57.99999999999999,18,10,14,0,0.7027406886858749,9.395815917467898,0.050383552,0.12585706178041814,-12.4288,1.286856067493951,32,1.2857142857142858,20.332453,8.351585
19,7.571,11,56.00000000000001,14,10,20,0,BCC_B2#2,0.407,54.8,8.1,8.200000000000001,28.9,0,0.7027406886858749,9.120605565734685,0.064526013,0.1384765391681926,-18.02328,0.7784909492093036,37,0.28027681660899656,17.158417,5.2517424
20,8.191,11,56.00000000000001,14,10,20,0,FCC_L12#1,0.593,56.8,18.1,11.2,13.9,0,0.7027406886858749,9.562252322,0.050218874,0.1255683236329927,-12.34028,1.3203837231675275,32,1.302158273381295,19.8914,8.146334
21,8.173000000000002,12,54,16,12,18,0,FCC_L12#1,0.7,54.40000000000001,19.2,13.1,13.4,0,0.7027406886858749,9.840734323177978,0.049411984672875366,0.12530662731236522,-12.105048,1.3945378424101729,32.6,1.4328358208955223,19.400387,8.554151
22,7.542000000000001,12,54,16,12,18,0,BCC_B2#2,0.3,53.1,8.5,9.5,28.9,0,0.7027406886858749,9.378322291474586,0.064485418,0.1383161595765295,-17.966552,0.8042310753521913,37.4,0.29411764705882354,17.452993,5.3329353
23,7.529000000000002,13,54,16,10,18,2,BCC_B2#2,0.306,53,8.3,8.200000000000001,29.1,1.5,0.7027406886858749,9.730420000011316,0.064637559,0.13814441733200797,-17.958048,0.8347983094837196,37.400000000000006,0.2852233676975945,16.542494,5.1548243
24,8.145000000000001,13,54,16,10,18,2,FCC_L12#1,0.694,54.40000000000001,19.4,10.8,13.1,2.2,0.7027406886858749,10.308783795840448,0.049130261,0.12464284221687176,-11.902408,1.4863758592307312,32.5,1.4809160305343512,19.421303,8.651637
